Appointment_Type_Id,Timetable,Notes,Zip,Moons_Center,Street,Center_Type,Apt,Active,Partner,List_Price,Number,ACL,City,Latitude,Zone,Map_URL,Appointment_Cost,Prev_Videocall,Phone,Order,Neighborhood,promo,Longitude,Currency,State,Place_Id,Region,Center_Name,Calendar_Id,Country,totalReviews,Map_Image,embed,Appointment_Type,extractReviews,reviews,Center_Desc,rating,Appointment_Calendar,Services,retailApp,mergeCalendars,Delete,whatsAppLink,whatsAppCall
,"{""saturday"":[""08:00-17:00""],""weekdays"":[""08:00-17:00""]}",,,TRUE,Calle 14,Centro Aliado,Clinica Dentus,FALSE,,,#13-32,null,Pereira,4.80867,Pereira,https://maps.app.goo.gl/UsbPmvjHPXLA5wg76,,FALSE,"[""""]",100,Sector Invico,,-75.69082,,Risaralda,,,Citas Full Pereira,7964022,Colombia,null,,,retail,FALSE,null,,0,,"{""fullprimera"":{""productId"":""fullprimera"",""AppointmentTypeId"":""53474599""},""fullseguimiento"":{""productId"":""fullseguimiento"",""AppointmentTypeId"":""53474627""}}",TRUE,,,,
,"{""weekdays"":[""10:00-19:00""]}",,,FALSE,Av. Reforma,Doctores Moons,,TRUE,Dr. Josué Otoniel Mora Andrade,,#1143,null,San Luis Potosí,22.15463893,Zona Centro,https://maps.app.goo.gl/y1wCkXSVNn5jGkRt7,,FALSE,"[""""]",4," Zona Centro, San Luis Potosí","¡Hasta $5,000 de descuento!",-100.9814914,,Centros Aliados,,San Luis Potosí,San Luis Potosí | Dental O'Dent,DrMoons1,México,null,,,retail,FALSE,null,Rotulado color verde turquesa (casi esquina con Av. Zapata),0,,{},FALSE,,,https://api.whatsapp.com/send?phone=5215593312948&text=%C2%A1Quiero%20agendar%20una%20cita%20en%20San%20Luis%20Potos%C3%AD!,TRUE
,"{""saturday"":[""10:00-18:00""],""weekdays"":[""10:00-18:00""]}","Entre Masaryk y Emilio Castelar. Timbre a un costado de Wax Revolution. Piso 4, puerta izquierda. A media cuadra de Parque Lincoln y Mandolina.",11550,TRUE,Lafontaine,Centro Moons,"Piso 4, consultorio 2-3",FALSE,,990,73,null,Miguel Hidalgo,19.4307535,Polanco,https://goo.gl/maps/12LPgkQY8GUSuBpj6,290,,"[""""]",1,Polanco III Secc -Piso 4 Consultorio 2 y 3.,,-99.1985262,,Ciudad de México,,,Polanco Full,8713409,México,null,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d30100.19443303747!2d-99.221701!3d19.4329489!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85d1f9c8b3925e39%3A0x95f70ed06b617ff2!2sMoons!5e0!3m2!1ses-419!2smx!4v1693872970078!5m2!1ses-419!2smx"" width=""100%"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",retail,,null,"Entre Masaryk y Emilio Castelar. Timbre a un costado de Wax Revolution. Piso 4, puerta izquierda. A media cuadra de Parque Lincoln y Mandolina.",0,,"{""fullprimera"":{""productId"":""fullprimera"",""AppointmentTypeId"":""53474599""},""fullseguimiento"":{""productId"":""fullseguimiento"",""AppointmentTypeId"":""53222904""},""refinamiento"":{""productId"":""refinamiento"",""AppointmentTypeId"":""53222633""},""futura"":{""productId"":""futura"",""AppointmentTypeId"":""53251573""},""fullrecolocacion"":{""productId"":""fullrecolocacion"",""AppointmentTypeId"":""61326435""},""nmt_rx"":{""productId"":""nmt_rx"",""AppointmentTypeId"":""60959916""},""limpiezaplan"":{""productId"":""limpiezaplan"",""AppointmentTypeId"":""53352668""},""limpiezayblanqplan"":{""productId"":""limpiezayblanqplan"",""AppointmentTypeId"":""53352699""},""rescan"":{""productId"":""rescan"",""AppointmentTypeId"":""53251554""},""nmt60"":{""productId"":""nmt60"",""AppointmentTypeId"":""56487210""},""fullfinal"":{""productId"":""fullfinal"",""AppointmentTypeId"":""55967546""}}",TRUE,,FALSE,,FALSE
,"{""saturday"":[""10:00-18:00""],""weekdays"":[""10:00-18:00""]}",Entre Amores y Avenida Universidad. A media cuadra de Grupo Fórmula y gasolinera Hidrosina. El edificio cuenta con estacionamiento con costo de $30.,3240,TRUE,Av. Coyoacán,Centro Moons,Piso 12 Int 1202,FALSE,,990,1878,null,Benito Juárez,19.3615626,Coyoacán,"https://www.google.com/maps/place/Moons/@19.3617155,-99.1721397,17z/data=!3m1!4b1!4m6!3m5!1s0x85d1fffad955ec39:0x586f22544ea49227!8m2!3d19.3617155!4d-99.1721397!16s%2Fg%2F11qpcmm1gx?hl=es-419&entry=ttu",99,,"[""""]",2,Col. Acacias.  Benito Juárez. Piso 12 Int 1202,,-99.1721075,,Ciudad de México,,,Coyoacán Full,9350926,México,null,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3764.133309120938!2d-99.1692278!3d19.363379600000002!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85d1fffad955ec39%3A0x586f22544ea49227!2sMoons!5e0!3m2!1ses-419!2smx!4v1693872733254!5m2!1ses-419!2smx"" width=""100%"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",retail,,null,Entre Amores y Avenida Universidad. A media cuadra de Grupo Fórmula y gasolinera Hidrosina. El edificio cuenta con estacionamiento con costo de $30.,0,,"{""fullprimera"":{""productId"":""fullprimera"",""AppointmentTypeId"":""53474599""},""fullseguimiento"":{""productId"":""fullseguimiento"",""AppointmentTypeId"":""53222904""},""refinamiento"":{""productId"":""refinamiento"",""AppointmentTypeId"":""53222633""},""futura"":{""productId"":""futura"",""AppointmentTypeId"":""53251573""},""fullrecolocacion"":{""productId"":""fullrecolocacion"",""AppointmentTypeId"":""61326435""},""limpiezaplan"":{""productId"":""limpiezaplan"",""AppointmentTypeId"":""53352668""},""limpiezayblanqplan"":{""productId"":""limpiezayblanqplan"",""AppointmentTypeId"":""53352699""},""rescan"":{""productId"":""rescan"",""AppointmentTypeId"":""53251554""},""nmt60"":{""productId"":""nmt60"",""AppointmentTypeId"":""56487210""},""fullfinal"":{""productId"":""fullfinal"",""AppointmentTypeId"":""55967546""}}",TRUE,,FALSE,,FALSE
,"{""saturday"":[""10:00-15:00""],""weekdays"":[""09:30-14:00""]}",,,FALSE,José Sotero de Castañeda,Doctores Moons,,TRUE,Dr. Alan Adrian Causor Santamaria,,72A,null,Apatzingán,19.09019301,Colonia Centro,https://maps.app.goo.gl/NRHACcn3HggCFJxE6?g_st=iw,,FALSE,"[""""]",4,"Centro, Apatzingán, Michoacán","¡Hasta $5,000 de descuento!",-102.3529306,,Centros Aliados,,"Apatzingán, Michoacán",Apatzingán | Clínica Dental Santamaria,DrMoons6,México,null,,,retail,FALSE,null,,0,,{},FALSE,,,https://api.whatsapp.com/send?phone=5215593312948&text=%C2%A1Quiero%20agendar%20una%20cita%20en%20Apatzing%C3%A1n!,TRUE
,"{""saturday"":[""09:30-14:00""],""weekdays"":[""09:30-14:00"",""15:30-20:00""]}",,,FALSE,Llanura,Doctores Moons,,TRUE,Dra. Gisela Dagmar Aguilar Kleimann,,332,null,Ciudad de México,19.3094134,Jardines del Pedregal,https://maps.app.goo.gl/ai2Nizfhavzgw6kf9,,FALSE,"[""""]",4,"Jardines del Pedregal, San Ángel, CDMX","¡Hasta $5,000 de descuento!",-99.18959088,,Centros Aliados,,"San Ángel, CDMX",San Ángel CDMX | Clindental,DrMoons8,México,null,,,retail,FALSE,null,,0,,{},FALSE,,,https://api.whatsapp.com/send?phone=5215593312948&text=%C2%A1Quiero%20agendar%20una%20cita%20en%20San%20Ángel!,TRUE
,"{""weekdays"":[""09:00-13:00"",""17:00-19:00""]}",,,FALSE,Francisco I Madero,Doctores Moons,,TRUE,Dra. Norma Haro,,14,null,Nayarit,21.5205063,San José,https://maps.app.goo.gl/4QmbxfEKkYGqLf9a9,,FALSE,"[""""]",4,"San José, Tepic, Nayarit","¡Hasta $5,000 de descuento!",-104.887873,,Centros Aliados,,"Tepic, Nayarit",Tepic | Dra. Norma Haro,DrMoons5,México,null,,,retail,FALSE,null,,0,,{},FALSE,,,https://api.whatsapp.com/send?phone=5215593312948&text=%C2%A1Quiero%20agendar%20una%20cita%20en%20Tepic!,TRUE
53222513,"{""saturday"":[""10:00-16:00""],""weekdays"":[""10:00-18:00""]}","Entre calle Mazamitla y Av. Ignacio L Vallarta. Edificio blanco, a un costado de Clínica Bari. Estacionamiento gratuito. ",44110,TRUE,San Juan de los Lagos,Centro Moons,,TRUE,,null,35-C,null,Guadalajara / Jal.,20.6735086,Vallarta Poniente,https://goo.gl/maps/rF4z9qYRuMV9VJp9A,null,,"[""""]",2,Vallarta Poniente,"¡Hasta $6,400 OFF! 🌙",-103.3898997,MXN,Jalisco,ChIJEw_GUJyvKIQRW_K-ZcCTNoU,Ciudad de México,Guadalajara,2967442,México,189,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d14931.619519780124!2d-103.39859413022461!3d20.673448500000006!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8428ae71d06ee6d9%3A0x5d42045b58872159!2sSan%20Juan%20de%20Los%20Lagos%2035c%2C%20Vallarta%20Poniente%2C%2044110%20Guadalajara%2C%20Jal.!5e0!3m2!1sen!2smx!4v1684283632684!5m2!1sen!2smx"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",retail,TRUE,null,"Entre calle Mazamitla y Av. Ignacio L Vallarta. Edificio blanco, a un costado de Clínica Bari. Estacionamiento gratuito.",4.8,,"{""rescan"":{""productId"":""rescan"",""AppointmentTypeId"":""53251554""}}",TRUE,"[{""calendarId"":""9365974"",""appointmentTypeId"":""53222513""}]",FALSE,,FALSE
,"{""sunday"":[""10:00-19:00""],""saturday"":[""10:00-19:00""],""weekdays"":[""10:00-19:00""]}",,,FALSE,Calle del Héroe,Doctores Moons,,TRUE,,,#180,null,Morelia,19.69738302,Lomas de Hidalgo,https://maps.app.goo.gl/Jj16ETWJt3qjqTBU7,,FALSE,"[""""]",4,"Lomas de Hidalgo, Morelia, Michoacán.","¡Hasta $5,000 de descuento!",-101.1590606,,Centros Aliados,,"Morelia, Michoacán",Morelia | Smile Dentist,DrMoons2,México,null,,,retail,FALSE,null,,0,,{},FALSE,,,https://api.whatsapp.com/send?phone=5215593312948&text=%C2%A1Quiero%20agendar%20una%20cita%20en%20Morelia!,TRUE
53222513,"{""saturday"":[""10:00-18:00""],""weekdays"":[""10:00-18:00""]}","Entre Masaryk y Emilio Castelar. Timbre a un costado de Wax Revolution. Piso 3, puerta izquierda. A media cuadra de Parque Lincoln y Mandolina.",11550,TRUE,Lafontaine,Centro Moons,"Piso 4, consultorio 2-3",TRUE,,990,73,null,Miguel Hidalgo,19.43144811,Polanco,https://goo.gl/maps/12LPgkQY8GUSuBpj6,99,,"[""""]",1,Polanco III Secc -Piso 4 Consultorio 2 y 3.,"¡Hasta $6,400 OFF! 🌙",-99.19819069,MXN,Ciudad de México,ChIJOV6Ss8j50YUR8n9ha9AO95U,Ciudad de México,Polanco,9008838,México,231,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d30100.19443303747!2d-99.221701!3d19.4329489!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x85d1f9c8b3925e39%3A0x95f70ed06b617ff2!2sMoons!5e0!3m2!1ses-419!2smx!4v1693872970078!5m2!1ses-419!2smx"" width=""100%"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",retail,TRUE,null,"Entre Masaryk y Emilio Castelar. Timbre a un costado de Wax Revolution. Piso 3, puerta izquierda. A media cuadra de Parque Lincoln y Mandolina.",4.3,,"{""rescan"":{""productId"":""rescan"",""AppointmentTypeId"":""53251554""}}",TRUE,"[{""calendarId"":""8713409"",""appointmentTypeId"":""53222513""}]",FALSE,,FALSE
